GEO_ID,NAME,ABBREV,REGION
0400000US01,Alabama,AL,South
0400000US02,Alaska,AK,West
0400000US04,Arizona,AZ,West
0400000US05,Arkansas,AR,South
0400000US06,California,CA,West
0400000US08,Colorado,CO,West
0400000US09,Connecticut,CT,Northeast
0400000US10,Delaware,DE,South
0400000US11,District of Columbia,DC,South
0400000US12,Florida,FL,South
0400000US13,Georgia,GA,South
0400000US15,Hawaii,HI,West
0400000US16,Idaho,ID,West
0400000US17,Illinois,IL,Midwest
0400000US18,Indiana,IN,Midwest
0400000US19,Iowa,IA,Midwest
0400000US20,Kansas,KS,Midwest
0400000US21,Kentucky,KY,South
0400000US22,Louisiana,LA,South
0400000US23,Maine,ME,Northeast
0400000US24,Maryland,MD,South
0400000US25,Massachusetts,MA,Northeast
0400000US26,Michigan,MI,Midwest
0400000US27,Minnesota,MN,Midwest
0400000US28,Mississippi,MS,South
0400000US29,Missouri,MO,Midwest
0400000US30,Montana,MT,West
0400000US31,Nebraska,NE,Midwest
0400000US32,Nevada,NV,West
0400000US33,New Hampshire,NH,Northeast
0400000US34,New Jersey,NJ,Northeast
0400000US35,New Mexico,NM,West
0400000US36,New York,NY,Northeast
0400000US37,North Carolina,NC,South
0400000US38,North Dakota,ND,Midwest
0400000US39,Ohio,OH,Midwest
0400000US40,Oklahoma,OK,South
0400000US41,Oregon,OR,West
0400000US42,Pennsylvania,PA,Northeast
0400000US44,Rhode Island,RI,Northeast
0400000US45,South Carolina,SC,South
0400000US46,South Dakota,SD,Midwest
0400000US47,Tennessee,TN,South
0400000US48,Texas,TE,South
0400000US49,Utah,UT,West
0400000US50,Vermont,VT,Northeast
0400000US51,Virginia,VA,South
0400000US53,Washington,WA,West
0400000US54,West Virginia,WV,South
0400000US55,Wisconsin,WI,Midwest
0400000US56,Wyoming,WY,West
