Year,Name,Less than $100,$100 to $149,$150 to $199,$200 to $249,$250 to $299,$300 to $349,$350 to $399,$400 to $449,$450 to $499,$500 to $549,$550 to $599,$600 to $649,$650 to $699,$700 to $749,$750 to $799,$800 to $899,$900 to $999,$1000 to $1249,$1250 to $1499,$1500 to $1999,$2000 to $2499,$2500 to $2999,$3000 to $3499,$3500 or more,state
2015,Mississippi,568,2025,4377,7249,8494,7020,7792,11625,12850,16999,19571,22845,23257,24915,20606,32518,28024,40175,13710,6503,865,988,185,89,28
2015,Missouri,1562,2195,5798,16786,12618,14464,16016,22574,30564,38050,43631,49811,51548,56958,54989,87317,72367,99417,38295,26146,7498,2697,2600,881,29
2015,Montana,615,695,1645,2606,2695,2132,3437,3928,7680,6375,6446,5736,8271,8342,8376,15771,10403,14742,8931,4601,1289,418,220,206,30
2015,Nebraska,1844,1002,1275,4169,4143,3342,5650,8638,11367,12115,15284,16533,18055,15874,15478,28298,19658,29068,13973,7420,2490,1182,819,597,31
2015,Nevada,265,709,1113,2132,1816,3262,2226,3758,5747,9848,16018,18847,21296,22076,26773,52652,54645,102185,57983,47778,8440,3146,780,977,32
2015,New Hampshire,454,624,1063,1473,1501,2656,2120,1368,2935,1921,2203,3376,3655,5372,5433,16119,17702,34177,19746,16001,3132,658,179,610,33
2015,New Jersey,4438,5279,5830,20880,14650,13414,9471,9913,8562,11746,7072,13244,12774,21838,24330,71799,91871,257142,205942,196968,74324,28799,12638,11376,34
2015,New Mexico,1234,1406,2858,4246,2810,3670,4915,5509,9049,11868,17298,14451,14368,12844,12430,23115,19642,38046,16416,10613,1530,305,702,241,35
2015,New York,7166,10928,19334,75748,61802,51727,50293,52649,52813,69286,65259,81350,75132,100619,92609,200690,207601,518411,442533,546433,229092,117541,72060,65347,36
2015,North Carolina,5281,4054,9067,19497,16982,18892,21900,29456,38171,52838,64715,74884,87822,77871,81389,158489,136364,210444,91489,66964,15478,3256,3453,1917,37
2015,North Dakota,642,94,752,1850,1837,2453,2041,3664,5233,6336,6207,6870,7103,7094,8149,11837,9194,13610,8257,5410,2085,861,527,425,38
2015,Ohio,14898,7637,11938,37276,24910,25251,27695,41465,61523,83924,96672,108092,114270,109072,104863,174206,136148,194524,74791,43107,12117,2729,3100,2505,39
2015,Oklahoma,1443,1918,3757,8222,7998,7333,9444,12375,20474,24806,28042,31550,35461,32568,29741,60777,42650,57726,24309,14368,4046,1864,527,360,40
2015,Oregon,1217,1764,4135,8490,5652,5137,5589,9448,11039,12067,16549,19697,25710,28643,37302,68147,65774,113914,60251,53955,14396,4407,2519,1667,41
2015,Pennsylvania,6287,5890,13157,37594,23202,23559,25876,30124,38411,51024,61954,66920,70356,80723,81080,168008,138817,250469,128872,105281,32832,10929,5683,4507,42
2015,Rhode Island,724,1001,1202,7420,4895,4191,3092,2842,3165,2867,3576,3763,5238,5382,7323,15453,21847,34091,16078,12330,2722,795,481,445,44
2015,South Carolina,858,3315,5032,8011,8823,10577,8694,9746,17857,22631,28494,30260,33232,30456,38200,67875,53944,82992,33751,27840,9171,2307,2620,1223,45
2015,South Dakota,567,766,1545,2517,2828,4027,3859,4611,4400,6560,7139,7807,6862,6766,6041,9568,7299,10462,3174,1753,300,493,591,46,46
2015,Tennessee,5435,5661,6150,17954,12953,15258,17611,23627,27284,37068,40310,50065,48945,51760,56475,95087,75254,114226,49629,31219,10756,2837,1708,1934,47
2015,Texas,8663,8052,18176,39827,29466,33452,36113,46718,60633,85106,115506,159599,171174,193878,204575,405493,375138,668527,367498,311213,81060,26816,14456,11822,48
