Year,Name,Population,Population in households,Pop. below poverty level,Pop. at or Above poverty level,Pop. in Labor Force,Pop. not in Labor Force,Bachelor or higher Pop. in labor force,Bachelor or higher Pop. not labor force,Total Population 25 years and over - Educ. attainment,Population 25 years and over - No schooling completed,Population 25 years and over - Bachelor's degree,Population 25 years and over - Master's degree,Population 25 years and over - Doctorate degree,Median household Earnings($),Median Earnings - Educational attainment,Median Earnings - Bachelor,Median Earnings - Master or Above,Total housing units,Total Occupied housing units,Total Renter occupied - Tenure,Total vacant housing units,Total vacant housing units for seasonal,Total vacant housing units for rent,"Vacant housing units rented, not occupied",Total Renter occupied - by income,Total housing units - Educational attainment,Total Renter-occupied units- Educational attainment,Renter-occupied units - Less than high school graduate,Renter-occupied units - High school graduate,Renter-occupied units - Some college degree,Renter-occupied units - Bachelor's degree or higher,Median gross rent,state
2015,Mississippi,2992333,1104371,637128,2259451,1335130,1010583,268930,51124,1952337,28332,253036,111893,111893,40593,31090,39960,51111,1300932,1104371,360168,196561,43652,35653,5374,360168,1104371,360168,62961,108300,134123,54784,724,28
2015,Missouri,6083672,2374180,875495,5026472,3062893,1788868,813903,120914,4097212,35703,706922,320428,320428,50238,35129,45607,57209,2746644,2374180,804043,372464,102162,55994,10239,804043,2374180,804043,107178,233114,293240,170511,763,29
2015,Montana,1032949,414804,147287,860440,516733,313178,141994,22323,706329,3347,144135,50044,50044,49509,31848,39292,52284,494222,414804,138314,79418,43282,7990,594,138314,414804,138314,11971,43801,47583,34959,763,30
2015,Nebraska,1896190,744159,231321,1611361,1025079,451408,275822,33030,1232583,12252,244556,90029,90029,54996,36403,46833,60470,820925,744159,253765,76766,15605,15328,2279,253765,744159,253765,27350,68810,98942,58663,750,31
2015,Nevada,2890845,1042065,418243,2432229,1455305,837394,297028,61537,1968167,32904,304948,112195,112195,52431,33755,45977,62155,1209864,1042065,479105,167799,48649,45189,9187,479105,1042065,479105,72390,131283,182776,92656,980,32
2015,New Hampshire,1330608,517615,106046,1182014,746877,355212,233796,32486,937214,4562,205513,97780,97780,70303,42178,51426,67491,622604,517615,150876,104989,70484,5322,2269,150876,517615,150876,15290,43872,52240,39474,1017,33
2015,New Jersey,8958013,3187963,946114,7835461,4693629,2500292,1676982,263683,6166384,85601,1437307,638113,638113,72222,45704,60935,83032,3593722,3187963,1178929,405759,132033,71295,11441,1178929,3187963,1178929,178999,354844,303744,341342,1214,34
2015,New Mexico,2085109,761797,417834,1626597,959937,682550,219111,46365,1377548,17950,198116,115927,115927,45382,31109,42423,57560,914979,761797,247954,153182,48814,24361,6016,247954,761797,247954,40328,60380,91507,55739,783,35
2015,New York,19795791,7233694,2970032,16313744,10151319,5915189,3475663,503681,13641473,254262,2727078,1474536,1474536,60850,40996,55360,71684,8207161,7233694,3394792,973467,345445,158523,43347,3394792,7233694,3394792,604129,844820,845166,1100677,1173,36
2015,North Carolina,10042802,3843745,1607835,8182238,4961798,3049590,1382227,239793,6762644,86814,1277412,511174,511174,47830,33096,46171,59243,4491090,3843745,1388604,647345,216487,106471,21230,1388604,3843745,1388604,221811,343735,496508,326550,827,37
2015,North Dakota,756928,313475,80170,651184,422055,180959,109445,12665,492017,3246,105625,24169,24169,60557,40741,45787,65049,362889,313475,120133,49414,15509,9916,3767,120133,313475,120133,11071,31718,49875,27469,775,38
