Year,Name,less than $5000,$5000 to $9999,$10000 to $14999,$15000 to $19999,$20000 to $24999,$25000 to $34999,$35000 to $49999,$50000 to $74999,$75000 to $99999,$100000 to $149999,$150000 or more,state
2015,Mississippi,37273,38412,37723,37317,32424,45156,52268,45468,20349,10589,3189,28
2015,Missouri,51355,63097,79734,70458,68609,115032,129842,125230,55519,30715,14452,29
2015,Montana,7744,10540,13018,11679,13175,19490,22769,21403,9037,6240,3219,30
2015,Nebraska,12622,16458,22665,20698,22556,39321,41951,42943,18682,11567,4302,31
2015,Nevada,26257,22860,33882,31553,36541,69543,80566,84056,46603,33736,13508,32
2015,New Hampshire,4920,8090,11033,11620,11727,17704,23732,29723,16348,10115,5864,33
2015,New Jersey,65438,67032,77955,80257,80018,135747,162716,200485,120201,117541,71539,34
2015,New Mexico,17503,23567,25372,23428,20081,31790,40117,34471,15438,12088,4099,35
2015,New York,203410,253643,275686,243069,214353,369940,435593,528287,310475,304390,255946,36
2015,North Carolina,79607,104318,138000,122535,116592,201162,225124,208553,97361,66135,29217,37
2015,North Dakota,4903,6973,10335,8086,8108,16181,21103,17953,12638,9271,4582,38
2015,Ohio,117215,139631,154696,143831,129371,228646,235353,245058,108598,65339,25824,39
2015,Oklahoma,32360,38637,46150,44102,43961,71640,81673,82254,34963,24295,8058,40
2015,Oregon,32209,41893,48218,47915,46979,82908,97386,103321,49847,36362,17276,41
2015,Pennsylvania,93232,125261,143444,133714,117588,206567,230961,247278,121478,86449,44309,42
2015,Rhode Island,12815,13558,18116,12228,13020,19951,22340,27709,14904,8781,3444,44
2015,South Carolina,42752,44939,57822,54036,50662,84099,90523,91604,37856,25848,12000,45
2015,South Dakota,5920,7891,11862,8555,10489,16343,20051,16697,6280,2823,1074,46
2015,Tennessee,60656,71747,86556,72158,78049,122340,137588,130068,54713,34224,16663,47
2015,Texas,194963,218038,258383,268064,279914,503234,593581,645289,332113,245359,129648,48
2015,Vermont,2755,4859,6828,7423,6703,9569,11332,13669,6529,3111,1875,50
2015,Utah,13006,13103,21471,17541,21108,42105,51638,57846,24812,18811,8324,49
2015,Virginia,57497,62697,66608,62655,66033,129059,162208,191910,117188,108653,62518,51
2015,Washington,48087,56442,66729,62631,67819,119596,166990,189500,106513,93109,47888,53
2015,West Virginia,18936,24614,20989,20134,17846,26761,28923,24166,11667,7011,2338,54
2015,Wisconsin,36104,49524,70996,67034,70298,113061,129609,127956,59435,34191,12187,55
